"Techstack","Links"
"React, Node.js, MongoDB","https://www.linkedin.com/in/kyarramshetti/"
"Angular,.NET, SQL Server","https://www.linkedin.com/in/kyarramshetti/"
"Vue.js, Ruby on Rails, PostgreSQL","https://www.linkedin.com/in/kyarramshetti/"
"Python, Django, MySQL","https://www.linkedin.com/in/kyarramshetti/"
"Java, Spring Boot, Oracle","https://www.linkedin.com/in/kyarramshetti/"
"Flutter, Firebase, GraphQL","https://www.linkedin.com/in/kyarramshetti/"
"WordPress, PHP, MySQL","https://www.linkedin.com/in/kyarramshetti/"
"Magento, PHP, MySQL","https://www.linkedin.com/in/kyarramshetti/"
"React Native, Node.js, MongoDB","https://www.linkedin.com/in/kyarramshetti/"
"iOS, Swift, Core Data","https://www.linkedin.com/in/kyarramshetti/"
"Android, Java, Room Persistence","https://www.linkedin.com/in/kyarramshetti/"
"Kotlin, Android, Firebase","https://www.linkedin.com/in/kyarramshetti/"
"Android TV, Kotlin, Android NDK","https://www.linkedin.com/in/kyarramshetti/"
"iOS, Swift, ARKit","https://www.linkedin.com/in/kyarramshetti/"
"Cross-platform, Xamarin, Azure","https://www.linkedin.com/in/kyarramshetti/"
"Backend, Kotlin, Spring Boot","https://www.linkedin.com/in/kyarramshetti/"
"Frontend, TypeScript, Angular","https://www.linkedin.com/in/kyarramshetti/"
"Full-stack, JavaScript, Express.js","https://www.linkedin.com/in/kyarramshetti/"
"Machine Learning, Python, TensorFlow","https://www.linkedin.com/in/kyarramshetti/"
"DevOps, Jenkins, Docker","https://www.linkedin.com/in/kyarramshetti/"